Mun;Referen;N.Fijo ;D;Pal;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic
069;8497326;3195289;P;P;001;001;5160;ZUBIAURRE, PASEO DE           ;059 ;  ;03;   ;V ;    79,00;
069;8497326;3195293;X;P;001;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;DR ;V ;    76,00;
069;8497326;3195293;X; ;002;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;  1;T ;     7,00;
069;8497326;3195294;W;P;001;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;01;IZ ;V ;    79,00;
069;8497326;3195294;W; ;002;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;  3;T ;     4,00;
069;8497326;3195295;H;P;001;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;02;DR ;V ;    79,00;
069;8497326;3195295;H; ;002;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;  4;T ;     4,00;
069;8497326;3195296;P;P;001;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;02;IZ ;V ;    79,00;
069;8497326;3195296;P; ;002;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;  5;T ;     4,00;
069;8497326;3195297;A;P;001;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;03;IZ ;V ;    79,00;
069;8497326;3195297;A; ;002;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;  7;T ;     4,00;
069;8497326;3195298;Y;P;001;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;01;DR ;V ;    79,00;
069;8497326;3195298;Y; ;002;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;  2;T ;     7,00;
069;8497326;3195299;Q;P;001;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;03;DR ;V ;    79,00;
069;8497326;3195299;Q; ;002;001;5160;ZUBIAURRE, PASEO DE           ;060 ;  ;00;  6;T ;     4,00;
069;8497326;3195301;U;P;001;001;5160;ZUBIAURRE, PASEO DE           ;061 ;  ;01;   ;V ;    79,00;
069;8497326;3195301;U; ;002;001;5160;ZUBIAURRE, PASEO DE           ;061 ;  ;SM;  1;T ;     7,00;
069;8497326;3195302;F;P;001;001;5160;ZUBIAURRE, PASEO DE           ;061 ;  ;03;   ;V ;    79,00;
069;8497326;3195302;F; ;002;001;5160;ZUBIAURRE, PASEO DE           ;061 ;  ;SM;  3;T ;     6,00;
069;8497326;3195303;N;P;001;001;5160;ZUBIAURRE, PASEO DE           ;061 ;  ;02;   ;V ;    79,00;
069;8497326;3195303;N; ;002;001;5160;ZUBIAURRE, PASEO DE           ;061 ;  ;SM;  2;T ;     6,00;
069;8497327;6022638;V;P;001;001;0570;ATEGORRIETA, AVENIDA DE       ;071 ;  ;00;   ;C ;     9,00;
069;8497328;6079948;B;P;001;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;00;   ;V ;  1123,15;
069;8497328;6079948;B; ;002;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;01;   ;V ;   953,54;
069;8497328;6079948;B; ;003;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;02;   ;V ;  1176,23;
069;8497328;6079948;B; ;004;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;03;   ;V ;  1269,74;
069;8497328;6079948;B; ;005;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;04;   ;V ;   944,74;
069;8497328;6079948;B; ;006;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;05;   ;V ;   941,75;
069;8497328;6079948;B; ;007;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;06;   ;V ;   941,74;
069;8497328;6079948;B; ;008;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;07;   ;V ;   666,97;
069;8497328;6079948;B; ;009;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;-1;   ;G ;   628,75;
069;8497328;6079948;B; ;010;001;2095;JOSEBA ZUBIMENDI              ;001 ;  ;-1;   ;M ;   350,95;
069;8497329;0129636;L;P;001;001;2160;INTXAURRONDO                  ;024W;  ;00;   ;V ;    48,00;
069;8497329;0129636;L; ;002;001;2160;INTXAURRONDO                  ;024W;  ;01;   ;V ;    30,00;
069;8497330;6059432;L;P;001;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;00;A  ;X ;    96,41;
069;8497330;6059432;L; ;002;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;01;A  ;X ;    49,17;
069;8497330;6059432;L; ;003;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;-1;002;T ;    24,69;
069;8497330;6059433;T;P;001;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;00;B  ;X ;    87,10;
069;8497330;6059433;T; ;002;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;01;B  ;X ;    64,19;
069;8497330;6059433;T; ;003;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;01;B  ;Z ;    21,64;
069;8497330;6059433;T; ;004;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;-1;001;T ;    24,85;
069;8497330;6059434;E;P;001;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;02;A  ;X ;   104,15;
069;8497330;6059434;E; ;002;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;01;A  ;X ;    50,96;
069;8497330;6059434;E; ;003;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;03;A  ;X ;    26,56;
069;8497330;6059434;E; ;004;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;03;A  ;Z ;    59,86;
069;8497330;6059434;E; ;005;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;-1;003;T ;    24,84;
069;8497330;6059435;M;P;001;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;03;A  ;X ;    86,72;
069;8497330;6059435;M; ;002;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;02;A  ;X ;    65,01;
069;8497330;6059435;M; ;003;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;-1;004;T ;    24,59;
069;8497330;6059436;U;P;001;001;2095;JOSEBA ZUBIMENDI              ;005 ;  ;-1;   ;G ;    28,85;
069;8497331;6053434;V;P;001;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;00;A  ;X ;    98,99;
069;8497331;6053434;V; ;002;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;01;A  ;X ;    47,98;
069;8497331;6053434;V; ;003;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;   ;X ;    34,30;
069;8497331;6053434;V; ;004;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;   ;G ;    33,00;
069;8497331;6053435;G;P;001;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;00;B  ;X ;    98,05;
069;8497331;6053435;G; ;002;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;01;B  ;X ;    48,05;
069;8497331;6053435;G; ;003;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;   ;X ;    82,30;
069;8497331;6053435;G; ;004;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;   ;G ;    42,80;
069;8497331;6053454;A;P;001;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;02;A  ;X ;   102,35;
069;8497331;6053454;A; ;002;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;01;A  ;X ;    48,02;
069;8497331;6053454;A; ;003;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;03;   ;X ;    25,80;
069;8497331;6053454;A; ;004;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;03;A  ;Z ;    22,31;
069;8497331;6053454;A; ;005;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;03;A  ;Z ;    22,31;
069;8497331;6053454;A; ;006;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;03;A  ;Z ;    28,84;
069;8497331;6053454;A; ;007;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;001;T ;     5,71;
069;8497331;6053454;A; ;008;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;001;G ;    27,79;
069;8497331;6053457;B;P;001;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;02;B  ;X ;    91,25;
069;8497331;6053457;B; ;002;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;01;B  ;X ;    48,17;
069;8497331;6053457;B; ;003;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;03;   ;X ;    25,80;
069;8497331;6053457;B; ;004;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;03;B  ;Z ;    22,31;
069;8497331;6053457;B; ;005;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;03;B  ;Z ;    28,84;
069;8497331;6053457;B; ;006;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;002;T ;     7,40;
069;8497331;6053457;B; ;007;001;2095;JOSEBA ZUBIMENDI              ;002 ;  ;-1;005;P ;    25,75;
069;8497332;6053402;C;P;001;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;00;B  ;X ;    98,05;
069;8497332;6053402;C; ;002;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;01;B  ;X ;    48,05;
069;8497332;6053402;C; ;003;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;004;P ;    28,50;
069;8497332;6053402;C; ;004;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;004;T ;     9,60;
069;8497332;6053403;K;P;001;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;02;A  ;X ;    83,46;
069;8497332;6053403;K; ;002;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;03;   ;X ;     9,47;
069;8497332;6053403;K; ;003;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;03;A  ;Z ;    68,32;
069;8497332;6053403;K; ;004;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;001;P ;    28,66;
069;8497332;6053403;K; ;005;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;001;T ;     8,08;
069;8497332;6053404;S;P;001;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;02;B  ;X ;    91,60;
069;8497332;6053404;S; ;002;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;01;B  ;X ;    48,17;
069;8497332;6053404;S; ;003;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;03;   ;X ;    25,80;
069;8497332;6053404;S; ;004;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;03;B  ;Z ;    30,30;
069;8497332;6053404;S; ;005;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;03;B  ;Z ;    23,46;
069;8497332;6053404;S; ;006;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;002;P ;    28,00;
069;8497332;6053404;S; ;007;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;002;T ;     8,08;
069;8497332;6053405;D;P;001;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;A  ;M ;   109,50;
069;8497332;6053406;L;P;001;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;3A ;P ;    14,81;
069;8497332;6146463;M;P;001;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;01;A  ;V ;    48,81;
069;8497332;6146463;M; ;002;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;01;A  ;Z ;     8,06;
069;8497332;6146464;U;P;001;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;00;A  ;X ;    84,44;
069;8497332;6146464;U; ;002;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;00;A  ;Z ;    41,29;
069;8497332;6146464;U; ;003;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;01;   ;X ;    19,36;
069;8497332;6146464;U; ;004;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;3B ;P ;    14,74;
069;8497332;6146464;U; ;005;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;-1;003;T ;     8,08;
069;8497332;6146464;U; ;006;001;2095;JOSEBA ZUBIMENDI              ;004 ;  ;01;A  ;Z ;     7,02;
069;8497333;0135281;R;P;001;001;5160;ZUBIAURRE, PASEO DE           ;034 ;  ;00;   ;V ;    53,00;
069;8497333;0135281;R; ;002;001;5160;ZUBIAURRE, PASEO DE           ;034 ;  ;SM;   ;G ;    53,00;
069;8497333;3164797;P;P;001;001;5160;ZUBIAURRE, PASEO DE           ;035 ;  ;01;   ;X ;    53,00;
069;8497333;3164797;P; ;002;001;5160;ZUBIAURRE, PASEO DE           ;035 ;  ;BH;   ;X ;    35,00;
069;8497334;6075491;V; ;001;001;6200;ATEGORRIETA,CALZADA VIEJA     ;097A;  ;-1;   ;G ;    45,53;
069;8497334;6075491;V; ;002;001;6200;ATEGORRIETA,CALZADA VIEJA     ;097A;  ;-1;   ;T ;    15,70;
069;8497334;6075491;V; ;003;001;6200;ATEGORRIETA,CALZADA VIEJA     ;097A;  ;-1;   ;V ;    11,45;
069;8497334;6075491;V;P;004;001;6200;ATEGORRIETA,CALZADA VIEJA     ;097A;  ;00;   ;V ;    66,93;
069;8497334;6075491;V; ;005;001;6200;ATEGORRIETA,CALZADA VIEJA     ;097A;  ;01;   ;V ;    68,60;
069;8497334;6075491;V; ;006;001;6200;ATEGORRIETA,CALZADA VIEJA     ;097A;  ;BC;   ;V ;    45,38;
069;8497334;6075491;V; ;007;001;6200;ATEGORRIETA,CALZADA VIEJA     ;097A;  ;BC;   ;Z ;    24,00;
