Mun;Referen;N.Fijo ;D;Pal;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic
069;8696073;3081590;B; ;002;001;0510;ARRIZAR, GRUPO                ;012 ;  ;BH;   ;T ;    10,00;
069;8696073;3081591;J;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;04;B  ;V ;    69,00;
069;8696073;3081591;J; ;002;001;0510;ARRIZAR, GRUPO                ;012 ;  ;BH;   ;T ;    10,00;
069;8696073;3081592;R;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;03;B  ;V ;    69,00;
069;8696073;3081592;R; ;002;001;0510;ARRIZAR, GRUPO                ;012 ;  ;BH;   ;T ;    10,00;
069;8696073;3081593;C;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;02;A  ;V ;    69,00;
069;8696073;3081593;C; ;002;001;0510;ARRIZAR, GRUPO                ;012 ;  ;BH;   ;T ;    10,00;
069;8696073;3081594;K;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;00;B  ;C ;    55,18;
069;8696073;3081595;S;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;00;C  ;C ;    48,60;
069;8696073;3081597;L;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;01;B  ;V ;    69,00;
069;8696073;3081597;L; ;002;001;0510;ARRIZAR, GRUPO                ;012 ;  ;BH;   ;T ;    10,00;
069;8696073;3199032;L;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;05;A  ;V ;    69,00;
069;8696073;3199032;L; ;002;001;0510;ARRIZAR, GRUPO                ;012 ;  ;BH;   ;T ;    10,00;
069;8696073;5137525;R;P;001;001;0510;ARRIZAR, GRUPO                ;012 ;  ;00;A  ;C ;    75,70;
069;8696074;3077467;V;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;002 ;  ;00;   ;V ;    61,00;
069;8696074;3077467;V; ;002;001;4280;SAN MARCIAL, PLAZA DE         ;002 ;  ;01;   ;V ;    61,00;
069;8696074;3077467;V; ;003;001;4280;SAN MARCIAL, PLAZA DE         ;002 ;  ;02;   ;V ;    24,00;
069;8696075;3077477;W;P;001;001;0260;ALTZA, PASEO DE               ;044 ;  ;00;   ;R ;   615,00;
069;8696075;3077477;W; ;002;001;0260;ALTZA, PASEO DE               ;044 ;  ;SM;   ;R ;   175,00;
069;8696075;3077477;W; ;003;001;0260;ALTZA, PASEO DE               ;044 ;  ;01;   ;R ;    15,00;
069;8696075;3077477;W; ;004;001;0260;ALTZA, PASEO DE               ;044 ;  ;00;   ;V ;   138,00;
069;8696075;3077477;W; ;005;001;0260;ALTZA, PASEO DE               ;044 ;  ;01;   ;V ;   138,00;
069;8696075;3077477;W; ;006;001;0260;ALTZA, PASEO DE               ;044 ;  ;02;   ;V ;   138,00;
069;8696075;3077477;W; ;007;001;0260;ALTZA, PASEO DE               ;044 ;  ;03;   ;V ;   138,00;
069;8696076;3137174;M;P;001;001;1500;ELIZASU                       ;019 ;  ;03;B  ;V ;    65,69;
069;8696076;3137175;U;P;001;001;1500;ELIZASU                       ;019 ;  ;02;C  ;V ;    65,69;
069;8696076;3137176;F;P;001;001;1500;ELIZASU                       ;019 ;  ;00;005;E ;    17,00;
069;8696076;3137177;N;P;001;001;1500;ELIZASU                       ;019 ;  ;03;D  ;V ;    67,42;
069;8696076;3137178;V;P;001;001;1500;ELIZASU                       ;019 ;  ;03;A  ;V ;    67,42;
069;8696076;3137179;G;P;001;001;1500;ELIZASU                       ;019 ;  ;02;A  ;V ;    67,42;
069;8696076;3137180;E;P;001;001;1500;ELIZASU                       ;019 ;  ;02;D  ;V ;    67,42;
069;8696076;3137181;M;P;001;001;1500;ELIZASU                       ;019 ;  ;05;D  ;V ;    67,42;
069;8696076;3137182;U;P;001;001;1500;ELIZASU                       ;019 ;  ;00;2D ;C ;    53,00;
069;8696076;3137184;N;P;001;001;1500;ELIZASU                       ;019 ;  ;04;A  ;V ;    67,42;
069;8696076;3137185;V;P;001;001;1500;ELIZASU                       ;019 ;  ;01;B  ;V ;    65,69;
069;8696076;3137186;G;P;001;001;1500;ELIZASU                       ;019 ;  ;02;B  ;V ;    65,69;
069;8696076;3137187;X;P;001;001;1500;ELIZASU                       ;019 ;  ;01;C  ;V ;    65,69;
069;8696076;3137189;H;P;001;001;1500;ELIZASU                       ;019 ;  ;01;A  ;V ;    67,42;
069;8696076;3137190;F;P;001;001;1500;ELIZASU                       ;019 ;  ;04;B  ;V ;    65,69;
069;8696076;3137191;N;P;001;001;1500;ELIZASU                       ;019 ;  ;04;C  ;V ;    65,69;
069;8696076;3137192;V;P;001;001;1500;ELIZASU                       ;019 ;  ;01;D  ;V ;    67,42;
069;8696076;3137194;X;P;001;001;1500;ELIZASU                       ;019 ;  ;05;B  ;V ;    65,69;
069;8696076;3137195;W;P;001;001;1500;ELIZASU                       ;019 ;  ;05;C  ;V ;    65,69;
069;8696076;3137197;P;P;001;001;1500;ELIZASU                       ;019 ;  ;05;A  ;V ;    67,42;
069;8696076;3137198;A;P;001;001;1500;ELIZASU                       ;019 ;  ;03;C  ;V ;    65,69;
069;8696076;3137200;E;P;001;001;1500;ELIZASU                       ;019 ;  ;04;D  ;V ;    67,42;
069;8696076;3164622;G;P;001;001;1500;ELIZASU                       ;019 ;  ;00;2A ;C ;    56,00;
069;8696076;3164623;X;P;001;001;1500;ELIZASU                       ;019 ;  ;00;2C ;C ;    17,00;
069;8696076;3164624;W;P;001;001;1500;ELIZASU                       ;019 ;  ;00;003;C ;    17,00;
069;8696076;3194162;R;P;001;001;1500;ELIZASU                       ;019 ;  ;00;002;C ;   140,00;
069;8696076;5038539;E;P;001;001;1500;ELIZASU                       ;019 ;  ;-1;   ;C ;   130,00;
069;8696077;3164444;Y;P;001;001;1500;ELIZASU                       ;015 ;  ;05;A  ;V ;    78,00;
069;8696077;3164444;Y; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164452;Q;P;001;001;1500;ELIZASU                       ;015 ;  ;01;A  ;V ;    78,00;
069;8696077;3164452;Q; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164456;C;P;001;001;1500;ELIZASU                       ;015 ;  ;03;A  ;V ;    78,00;
069;8696077;3164456;C; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164458;S;P;001;001;1500;ELIZASU                       ;015 ;  ;02;A  ;V ;    78,00;
069;8696077;3164458;S; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164509;G;P;001;001;1500;ELIZASU                       ;015 ;  ;04;B  ;V ;    76,00;
069;8696077;3164509;G; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164510;E;P;001;001;1500;ELIZASU                       ;015 ;  ;06;A  ;V ;    78,00;
069;8696077;3164510;E; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164511;M;P;001;001;1500;ELIZASU                       ;015 ;  ;03;B  ;V ;    76,00;
069;8696077;3164511;M; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164512;U;P;001;001;1500;ELIZASU                       ;015 ;  ;07;A  ;V ;    78,00;
069;8696077;3164512;U; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164513;F;P;001;001;1500;ELIZASU                       ;015 ;  ;02;B  ;V ;    76,00;
069;8696077;3164513;F; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164514;N;P;001;001;1500;ELIZASU                       ;015 ;  ;01;B  ;V ;    76,00;
069;8696077;3164514;N; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164515;V;P;001;001;1500;ELIZASU                       ;015 ;  ;06;C  ;V ;    75,00;
069;8696077;3164515;V; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164516;G;P;001;001;1500;ELIZASU                       ;015 ;  ;05;C  ;V ;    75,00;
069;8696077;3164516;G; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164518;W;P;001;001;1500;ELIZASU                       ;015 ;  ;06;B  ;V ;    76,00;
069;8696077;3164518;W; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164519;H;P;001;001;1500;ELIZASU                       ;015 ;  ;05;B  ;V ;    76,00;
069;8696077;3164519;H; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164520;F;P;001;001;1500;ELIZASU                       ;015 ;  ;04;C  ;V ;    75,00;
069;8696077;3164520;F; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164521;N;P;001;001;1500;ELIZASU                       ;015 ;  ;01;C  ;V ;    75,00;
069;8696077;3164521;N; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164522;V;P;001;001;1500;ELIZASU                       ;015 ;  ;03;C  ;V ;    75,00;
069;8696077;3164522;V; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164523;G;P;001;001;1500;ELIZASU                       ;015 ;  ;02;C  ;V ;    75,00;
069;8696077;3164523;G; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164524;X;P;001;001;1500;ELIZASU                       ;015 ;  ;01;D  ;V ;    78,00;
069;8696077;3164524;X; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164525;W;P;001;001;1500;ELIZASU                       ;015 ;  ;06;D  ;V ;    78,00;
069;8696077;3164525;W; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164526;H;P;001;001;1500;ELIZASU                       ;015 ;  ;07;C  ;V ;    75,00;
069;8696077;3164526;H; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164527;P;P;001;001;1500;ELIZASU                       ;015 ;  ;05;D  ;V ;    78,00;
069;8696077;3164527;P; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164528;A;P;001;001;1500;ELIZASU                       ;015 ;  ;02;D  ;V ;    78,00;
069;8696077;3164528;A; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164529;Y;P;001;001;1500;ELIZASU                       ;015 ;  ;04;D  ;V ;    78,00;
069;8696077;3164529;Y; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164530;G;P;001;001;1500;ELIZASU                       ;015 ;  ;03;D  ;V ;    78,00;
069;8696077;3164530;G; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164531;X;P;001;001;1500;ELIZASU                       ;015 ;  ;07;D  ;V ;    78,00;
069;8696077;3164531;X; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3164532;W;P;001;001;1500;ELIZASU                       ;015 ;  ;04;A  ;V ;    78,00;
069;8696077;3164532;W; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696077;3210182;V;P;001;001;1500;ELIZASU                       ;015 ;  ;-1; 12;P ;     4,00;
069;8696077;3210183;G;P;001;001;1500;ELIZASU                       ;015 ;  ;-1; 11;P ;     4,00;
069;8696077;3210184;X;P;001;001;1500;ELIZASU                       ;015 ;  ;-1; 10;P ;     4,00;
069;8696077;3210186;H;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  9;G ;    19,28;
069;8696077;3210223;Y;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  2;G ;    18,56;
069;8696077;3210224;Q;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  1;G ;    20,00;
069;8696077;3210225;B;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  3;G ;    18,56;
069;8696077;3210226;J;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  5;G ;    20,30;
069;8696077;3210227;R;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  4;G ;    20,10;
069;8696077;3210228;C;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  6;G ;    20,00;
069;8696077;3210229;K;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  8;G ;    19,28;
069;8696077;3210230;Y;P;001;001;1500;ELIZASU                       ;015 ;  ;-1;  7;T ;     4,60;
069;8696077;3216456;L;P;001;001;1500;ELIZASU                       ;015 ;  ;07;B  ;V ;    76,00;
069;8696077;3216456;L; ;002;001;1500;ELIZASU                       ;015 ;  ;BH;   ;T ;     7,00;
069;8696078;5115208;U;P;001;001;4750;TXAPIÑENEA, CALLE DE          ;021 ;  ;00;   ;E ;  1610,00;
069;8696078;5115208;U; ;002;001;4750;TXAPIÑENEA, CALLE DE          ;021 ;  ;01;   ;E ;  1610,00;
069;8696078;5115208;U; ;003;001;4750;TXAPIÑENEA, CALLE DE          ;021 ;  ;02;   ;E ;  1610,00;
069;8696078;5115208;U; ;004;001;4750;TXAPIÑENEA, CALLE DE          ;021 ;  ;03;   ;E ;  1610,00;
069;8696078;5115208;U; ;005;002;4750;TXAPIÑENEA, CALLE DE          ;021 ;  ;00;   ;E ;   400,00;
069;8696078;5115208;U; ;006;003;4750;TXAPIÑENEA, CALLE DE          ;021 ;  ;00;   ;E ;   140,00;
069;8696078;5115208;U; ;007;004;4750;TXAPIÑENEA, CALLE DE          ;021 ;  ;00;   ;E ;   330,00;
069;8696079;5115226;G;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;009 ;  ;00;   ;K ;   612,00;
069;8696079;5115226;G; ;002;002;4280;SAN MARCIAL, PLAZA DE         ;009 ;  ;00;   ;M ;    95,00;
069;8696080;5115221;M;P;001;001;0260;ALTZA, PASEO DE               ;043 ;  ;SM;   ;E ;   312,00;
069;8696080;5115221;M; ;002;001;0260;ALTZA, PASEO DE               ;043 ;  ;00;   ;E ;  2043,00;
069;8696080;5115221;M; ;003;001;0260;ALTZA, PASEO DE               ;043 ;  ;01;   ;E ;  1043,00;
069;8696080;5115221;M; ;004;001;0260;ALTZA, PASEO DE               ;043 ;  ;02;   ;E ;  1043,00;
069;8696080;5115221;M; ;005;001;0260;ALTZA, PASEO DE               ;043 ;  ;03;   ;E ;  1043,00;
069;8696081;3138883;Q;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;02;B  ;V ;    59,00;
069;8696081;3138884;B;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;01;B  ;V ;    59,00;
069;8696081;3138885;J;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;00;A  ;C ;    51,09;
069;8696081;3138895;K;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;03;C  ;V ;    57,00;
069;8696081;3138896;S;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;04;C  ;V ;    57,00;
069;8696081;3138897;D;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;03;A  ;V ;    59,00;
069;8696081;3138898;L;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;01;A  ;V ;    59,00;
069;8696081;3138899;T;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;02;A  ;V ;    59,00;
069;8696081;3138900;P;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;02;C  ;V ;    57,00;
069;8696081;3138901;A;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;03;B  ;V ;    59,00;
069;8696081;3138902;Y;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;04;A  ;V ;    59,00;
069;8696081;3138903;Q;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;04;B  ;V ;    59,00;
069;8696081;3138904;B;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;01;C  ;V ;    57,00;
069;8696081;3138906;R;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;00;B  ;G ;   125,00;
069;8696081;5000295;X;P;001;001;0260;ALTZA, PASEO DE               ;010 ;  ;00;C  ;C ;    32,00;
069;8696082;6102319;L;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;01;A  ;V ;    60,23;
069;8696082;6102319;L; ;002;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;SM;001;T ;     7,15;
069;8696082;6102320;J;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;01;B  ;V ;    80,82;
069;8696082;6102320;J; ;002;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;SM;004;T ;    34,74;
069;8696082;6102321;R;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;02;A  ;V ;    68,93;
069;8696082;6102321;R; ;002;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;SM;002;T ;    16,84;
069;8696082;6102322;C;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;02;B  ;V ;    82,53;
069;8696082;6102322;C; ;002;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;SM;005;T ;    21,44;
069;8696082;6102323;K;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;03;A  ;V ;    70,72;
069;8696082;6102323;K; ;002;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;SM;003;T ;    29,15;
069;8696082;6102324;S;P;001;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;03;B  ;V ;    83,72;
069;8696082;6102324;S; ;002;001;4280;SAN MARCIAL, PLAZA DE         ;007 ;  ;SM;006;T ;    18,16;
069;8696083;6095536;K;P;001;000;6110;ARTXIPI, CAMINO DE            ;948 ;  ;  ;   ;S ;  6101,00;
069;8696084;6095529;K;P;001;000;2620;LAUAIZETA, CALLE DE           ;911 ;  ;  ;   ;S ;  7819,00;
069;8696085;6095526;J;P;001;000;2620;LAUAIZETA, CALLE DE           ;910 ;  ;  ;   ;S ;  8901,00;
069;8696086;6095519;J;P;001;000;2620;LAUAIZETA, CALLE DE           ;909 ;  ;  ;   ;S ;   470,00;
069;8696087;6095534;R;P;001;000;6110;ARTXIPI, CAMINO DE            ;946 ;  ;  ;   ;S ; 22222,00;
069;8696088;6095532;B;P;001;000;6110;ARTXIPI, CAMINO DE            ;944 ;  ;  ;   ;S ;  6866,00;
069;8696089;6095533;J;P;001;000;6110;ARTXIPI, CAMINO DE            ;945 ;  ;  ;   ;S ;  8927,00;
069;8696090;3070298;J;P;001;001;6110;ARTXIPI, CAMINO DE            ;044 ;  ;02;IZ ;V ;    53,00;
069;8696090;3070307;A;P;001;001;6110;ARTXIPI, CAMINO DE            ;044 ;  ;01;IZ ;V ;    59,00;
069;8696090;3070443;D;P;001;001;6110;ARTXIPI, CAMINO DE            ;044 ;  ;01;DR ;V ;   105,00;
069;8696090;5161281;Y;P;001;001;6110;ARTXIPI, CAMINO DE            ;044 ;  ;02;DR ;V ;    57,00;
069;8696090;6000123;X;P;001;001;6110;ARTXIPI, CAMINO DE            ;044 ;  ;00;   ;V ;    53,33;
069;8696090;6000124;W;P;001;001;6110;ARTXIPI, CAMINO DE            ;044 ;  ;00;   ;V ;    59,10;
069;8696091;3076353;C;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;04;V  ;V ;    55,00;
069;8696091;3076354;K;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;01;Z  ;V ;    56,00;
069;8696091;3076355;S;P;001;001;4060;ROTETA GOIKOA                 ;0131;  ;SM;   ;C ;    79,00;
069;8696091;3076356;D;P;001;001;4060;ROTETA GOIKOA                 ;0131;  ;SM;   ;C ;   100,00;
069;8696091;3076357;L;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;02;Y  ;V ;    55,00;
069;8696091;3076359;E;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;01;V  ;V ;    55,00;
069;8696091;3076360;C;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;01;Y  ;V ;    55,00;
069;8696091;3076361;K;P;001;001;4060;ROTETA GOIKOA                 ;0131;  ;SM;   ;C ;   107,00;
069;8696091;3076363;D;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;02;Z  ;V ;    56,00;
069;8696091;3076364;L;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;03;V  ;V ;    55,00;
069;8696091;3076365;T;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;03;Y  ;V ;    55,00;
069;8696091;3076367;M;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;03;X  ;V ;    57,00;
069;8696091;3076368;U;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;03;Z  ;V ;    56,00;
069;8696091;3076369;F;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;02;V  ;V ;    55,00;
069;8696091;3076370;D;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;04;Y  ;V ;    55,00;
069;8696091;3076788;Y;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;04;Z  ;V ;    56,00;
069;8696091;3196803;Y;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;01;X  ;V ;    57,00;
069;8696091;3196805;B;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;04;X  ;V ;    57,00;
069;8696091;3218751;U;P;001;001;0260;ALTZA, PASEO DE               ;004 ;  ;02;X  ;V ;    57,00;
069;8696092;6095535;C;P;001;000;6110;ARTXIPI, CAMINO DE            ;947 ;  ;  ;   ;S ; 12285,00;
069;8696093;6095506;H;P;001;000;0260;ALTZA, PASEO DE               ;901 ;  ;  ;   ;S ;   675,00;
069;8696094;6095537;S;P;001;000;0260;ALTZA, PASEO DE               ;903 ;  ;  ;   ;S ;  6736,00;
069;8696095;6095628;K;P;001;000;6110;ARTXIPI, CAMINO DE            ;949 ;  ;  ;   ;S ;  2924,00;
069;8696096;3070457;N; ;001;001;0260;ALTZA, PASEO DE               ;039 ;  ;00;   ;G ;    20,00;
069;8696096;3070457;N; ;002;002;0260;ALTZA, PASEO DE               ;039 ;  ;SM;   ;T ;    50,00;
069;8696096;3070457;N;P;003;002;0260;ALTZA, PASEO DE               ;039 ;  ;01;   ;V ;    50,00;
069;8696097;6095559;N;P;001;000;6110;ARTXIPI, CAMINO DE            ;956 ;  ;  ;   ;S ;  1763,00;
069;8696098;6095558;F;P;001;000;6110;ARTXIPI, CAMINO DE            ;955 ;  ;  ;   ;S ; 12415,00;
069;8696099;6095555;E;P;001;000;6110;ARTXIPI, CAMINO DE            ;954 ;  ;  ;   ;S ;  6448,00;
069;8696100;3140772;W; ;001;001;6110;ARTXIPI, CAMINO DE            ;039 ;  ;00;   ;G ;    96,00;
069;8696100;3140772;W; ;002;002;6110;ARTXIPI, CAMINO DE            ;039 ;  ;00;   ;T ;   115,00;
069;8696100;3140772;W;P;003;002;6110;ARTXIPI, CAMINO DE            ;039 ;  ;01;   ;V ;   115,00;
069;8696100;3140772;W; ;004;002;6110;ARTXIPI, CAMINO DE            ;039 ;  ;01;   ;V ;   115,00;
069;8696100;3140772;W; ;005;002;6110;ARTXIPI, CAMINO DE            ;039 ;  ;BH;   ;V ;    80,00;
069;8696100;3140772;W; ;006;003;6110;ARTXIPI, CAMINO DE            ;039 ;  ;00;   ;T ;    20,00;
069;8696101;6095549;M;P;001;000;6110;ARTXIPI, CAMINO DE            ;953 ;  ;  ;   ;S ; 17886,00;
069;8696102;3070368;X; ;001;001;6110;ARTXIPI, CAMINO DE            ;040 ;  ;00;   ;G ;    94,00;
069;8696102;3070368;X; ;002;002;6110;ARTXIPI, CAMINO DE            ;040 ;  ;00;   ;B ;    80,00;
069;8696102;3070368;X;P;003;002;6110;ARTXIPI, CAMINO DE            ;040 ;  ;00;   ;V ;    90,00;
069;8696102;3070368;X; ;004;002;6110;ARTXIPI, CAMINO DE            ;040 ;  ;01;   ;V ;   170,00;
069;8696102;3070368;X; ;005;001;6110;ARTXIPI, CAMINO DE            ;040 ;  ;02;   ;V ;    70,00;
069;8696104;6095479;H;P;001;000;4770;TXINGURRIAENEA, PASEO DE      ;914 ;  ;  ;   ;S ;  7849,39;
069;8696105;6095481;N;P;001;000;4770;TXINGURRIAENEA, PASEO DE      ;915 ;  ;  ;   ;S ;  1819,02;
069;8696106;6095483;G;P;001;000;4770;TXINGURRIAENEA, PASEO DE      ;916 ;  ;  ;   ;S ;   493,51;
069;8696108;6095490;G;P;001;000;2570;LARRATXO, PASEO DE            ;904 ;  ;  ;   ;S ;  4556,00;
069;8696109;3069939;W;P;001;001;2620;LAUAIZETA, CALLE DE           ;047 ;  ;00;   ;V ;   250,00;
069;8696109;3069939;W; ;002;001;2620;LAUAIZETA, CALLE DE           ;047 ;  ;01;   ;V ;   200,00;
069;8696109;3069939;W; ;003;001;2620;LAUAIZETA, CALLE DE           ;047 ;  ;BH;   ;T ;   100,00;
069;8696109;3069939;W; ;004;002;2620;LAUAIZETA, CALLE DE           ;047 ;  ;00;   ;G ;   100,00;
069;8696110;6095492;W;P;001;000;2620;LAUAIZETA, CALLE DE           ;901 ;  ;  ;   ;S ; 15398,00;
069;8696111;5005338;W;P;001;001;2620;LAUAIZETA, CALLE DE           ;041 ;  ;00;   ;V ;    50,00;
069;8696111;5005338;W; ;002;002;2620;LAUAIZETA, CALLE DE           ;041 ;  ;00;   ;V ;   136,00;
069;8696111;5005338;W; ;003;002;2620;LAUAIZETA, CALLE DE           ;041 ;  ;01;   ;V ;   136,00;
069;8696111;5005338;W; ;004;002;2620;LAUAIZETA, CALLE DE           ;041 ;  ;BH;   ;T ;    95,00;
069;8696112;6095507;P;P;001;000;0260;ALTZA, PASEO DE               ;902 ;  ;  ;   ;S ;  2151,00;
069;8696113;6095500;F;P;001;000;2620;LAUAIZETA, CALLE DE           ;903 ;  ;  ;   ;S ;  6172,00;
069;8696114;3070108;P; ;001;001;0260;ALTZA, PASEO DE               ;053 ;  ;00;   ;G ;    50,00;
069;8696114;3070108;P; ;002;002;0260;ALTZA, PASEO DE               ;053 ;  ;00;   ;T ;    50,00;
069;8696114;3070108;P; ;003;003;0260;ALTZA, PASEO DE               ;053 ;  ;00;   ;B ;   100,00;
069;8696114;3070108;P;P;004;003;0260;ALTZA, PASEO DE               ;053 ;  ;00;   ;V ;    18,00;
069;8696114;3070108;P; ;005;003;0260;ALTZA, PASEO DE               ;053 ;  ;01;   ;V ;   118,00;
069;8696114;3070108;P; ;006;003;0260;ALTZA, PASEO DE               ;053 ;  ;BH;   ;T ;    83,00;
069;8696114;3070108;P; ;007;004;0260;ALTZA, PASEO DE               ;053 ;  ;00;   ;T ;    70,00;
069;8696114;3070108;P; ;008;005;0260;ALTZA, PASEO DE               ;053 ;  ;00;   ;T ;    18,00;
069;8696115;3071313;Q;P;001;001;2620;LAUAIZETA, CALLE DE           ;029 ;  ;00;   ;T ;    15,00;
069;8696115;3071313;Q; ;002;002;2620;LAUAIZETA, CALLE DE           ;029 ;  ;00;   ;M ;    80,00;
069;8696115;3071315;J;P;001;002;2620;LAUAIZETA, CALLE DE           ;029 ;  ;01;   ;V ;    80,00;
069;8696115;3071316;R;P;001;002;2620;LAUAIZETA, CALLE DE           ;031 ;  ;02;   ;V ;    80,00;
069;8696115;3071316;R; ;002;002;2620;LAUAIZETA, CALLE DE           ;031 ;  ;BH;   ;T ;    56,00;
069;8696116;3069360;U; ;001;001;2620;LAUAIZETA, CALLE DE           ;033 ;  ;00;   ;H ;   100,00;
